,PALABRA,FRECUENC,RHO,PHI,LENGTH
2835,babel,3,16,33.55038927205825,5
2838,bable,1,16,33.55038927205825,5
2840,bache,3,16,33.57223892960688,5
2842,bacín,0,16,29.163770386510834,5
2844,badán,0,17,27.704165241036534,5
2846,badén,0,17,27.704165241036534,5
2847,badil,0,15,34.80458362596267,5
2849,bafle,0,16,32.84075561398138,5
2852,bahaí,0,17,34.115599094799904,5
2853,bahía,29,17,34.115599094799904,5
2860,bajel,2,15,32.34373593128163,5
2863,bajía,0,16,33.75135810028033,5
2864,bajío,1,16,27.5443746135792,5
2865,bajón,1,17,24.18661048183297,5
2874,balín,1,16,28.299508382705156,5
2875,balón,44,16,28.299508382705156,5
2890,banjo,3,17,33.62890397555719,5
2897,baque,0,17,30.543900403978558,5
2907,barín,0,17,32.81434394002149,5
2909,barón,6,17,32.81434394002149,5
2917,basis,0,16,34.31320643724526,5
2937,bebda,0,17,32.95504613038963,5
2938,bebdo,0,17,26.74806264368851,5
2939,beber,96,17,31.921629360177196,5
2941,bedel,20,15,29.717695221287805,5
2943,befre,0,17,31.211995702100324,5
2944,beige,4,17,31.055206401229345,5
2945,bejín,1,17,18.043015012635585,5
2946,belén,13,16,22.15591291350777,5
2947,belez,0,17,26.351887534290153,5
2948,belfa,0,16,32.84075561398138,5
2949,belfo,2,16,26.633772127280256,5
2950,belga,11,16,33.48580072391997,5
2951,belio,0,15,33.96265149195945,5
2953,belli,0,14,29.256331298433906,5
2954,bello,58,14,30.249650345452686,5
2955,belua,0,16,34.886099656047975,5
2961,beodo,1,16,34.360627397309614,5
2962,beorí,0,16,30.028512602570334,5
2963,beque,0,17,24.400304934781172,5
2964,berbí,0,17,22.415947848949234,5
2966,berón,0,17,26.6707484708241,5
2972,betel,0,16,30.853277148499636,5
2974,beuda,0,17,34.29075651437935,5
2975,beudo,0,17,28.08377302767823,5
2981,bibir,0,17,29.80821523113216,5
2983,bicha,8,16,32.51553186508437,5
2984,biche,0,16,26.37193639588698,5
2985,bicho,19,16,26.308548378383243,5
2986,bicos,0,15,29.513845119542836,5
2988,bidón,3,17,20.503862707316635,5
2991,bijol,0,15,25.08004538005798,5
2993,bilis,4,15,27.65626406871837,5
2994,billa,0,14,35.39992676763129,5
3002,birlí,0,15,24.265485344522276,5
3003,birlo,0,15,33.7077788382465,5
3005,bisel,1,15,28.71297113324089,5
3006,bisté,0,17,19.74752840755614,5
3008,bíter,0,17,25.86243119458801,5
3009,bitor,0,17,34.248017623789714,5
3010,bizca,1,17,32.3030379427707,5
3011,bizco,5,17,26.09605445606958,5
3014,blago,0,16,33.42241270641624,5
3016,blavo,0,16,32.642788112345656,5
3018,bledo,4,15,29.654307203784075,5
3019,blezo,0,17,26.28849951678642,5
3021,blues,0,16,23.4294358106283,5
3022,blusa,31,16,29.573031279825685,5
3025,bocel,0,14,31.11391234925837,5
3026,bocha,0,16,33.50885091210315,5
3027,boche,0,16,27.365255442905763,5
3028,bocho,0,16,27.301867425402026,5
3029,bocín,0,16,22.956786899809714,5
3030,bocio,3,15,34.763525478261386,5
3031,bocón,0,16,22.956786899809714,5
3032,bocoy,0,17,26.464857467000414,5
3033,bodón,0,17,21.497181754335415,5
3035,bohío,5,17,21.701632121397655,5
3039,bojeo,0,16,30.84307263810604,5
3040,bolán,0,16,22.09252489600403,5
3042,boldo,0,15,29.590919186280335,5
3043,boleo,0,15,34.95597053897822,5
3044,bolín,4,16,22.09252489600403,5
3046,bollo,5,14,30.18626232794895,5
3047,bolón,0,16,22.09252489600403,5
3049,bolso,37,15,29.642902162755934,5
3057,boque,0,17,24.336916917277435,5
3058,boqui,0,17,23.280209852754915,5
3059,bórax,2,17,26.89812897300607,5
3061,borde,92,16,34.1691427611004,5
3062,bordo,36,16,34.10575474359666,5
3063,bóreo,0,16,30.028512602570334,5
3067,borní,0,17,26.607360453320368,5
3070,borto,0,17,35.241336670808494,5
3076,botor,0,17,35.241336670808494,5
3077,boxeo,6,17,30.38831163374211,5
3078,bóxer,0,17,20.75453350380868,5
3079,boyal,0,17,31.807578949895852,5
3081,bozal,2,17,32.4320949859838,5
3097,brete,1,17,35.36811270581597,5
3099,breve,155,17,31.07741621796834,5
3104,briol,0,15,33.707778838246504,5
3105,brios,0,16,33.16441867305349,5
3113,brote,6,17,35.304724688312234,5
3114,broto,0,17,35.241336670808494,5
3117,bruja,28,17,30.518329101462847,5
3118,brujo,17,17,24.311345614761724,5
3129,bucal,2,15,30.98065344882438,5
3130,buceo,2,16,29.543378173152533,5
3131,buces,0,16,24.29369781443398,5
3132,bucha,0,17,27.231996542471773,5
3133,buche,6,17,21.088401073274387,5
3134,bucio,0,16,28.486671108630016,5
3135,bucle,5,15,24.837057979626994,5
3138,buéis,0,17,17.63675544590709,5
3147,bugle,0,17,21.001962867587473,5
3150,buida,0,17,33.23404944985684,5
3151,buido,0,17,27.027065963155717,5
3152,bujeo,0,17,24.566218268474664,5
3153,bujía,0,17,21.267520243947825,5
3154,bular,0,16,34.63122700233504,5
3155,bulbo,0,17,21.003163398222014,5
3156,bulda,0,16,29.52104830335008,5
3157,bulla,3,15,30.1163914450187,5
3158,bulón,0,17,15.815670526372656,5
3159,bulto,42,17,24.449646743860786,5
3163,burda,4,17,34.03588386066642,5
3164,burdo,3,17,27.828900373965293,5
3165,burel,0,16,28.487631533137645,5
3166,bureo,2,17,33.19395172666319,5
3169,buril,0,16,27.430924468615125,5
3170,burla,29,16,34.63122700233503,5
3172,burro,36,17,32.93907907295024,5
3173,busca,225,16,30.437293283631362,5
3174,busco,17,16,24.230309796930243,5
3182,cabás,0,15,27.271854159538517,5
3188,cacán,0,14,32.934276950412084,5
3194,cachú,0,15,27.83706398228017,5
3197,cacuy,0,16,30.165493147971407,5
3200,cafiz,0,17,31.59340428469384,5
3203,cagón,0,16,29.099181838372566,5
3204,cahíz,0,17,23.011651149808216,5
3207,caído,83,14,34.83243593668402,5
3211,cajín,0,15,27.957117045734215,5
3212,cajón,52,15,27.957117045734215,5
3213,cálao,0,13,35.42777907835263,5
3221,calés,2,13,30.17809871963408,5
3222,cáliz,8,15,19.560005522440918,5
3228,calón,0,14,32.0700149466064,5
3257,cansí,0,15,31.526654781413384,5
3262,cantú,0,17,32.61025373214961,5
3275,capín,0,16,29.678918081792155,5
3277,capón,3,16,29.678918081792155,5
3280,caqui,0,15,33.257699903357285,5
3299,carló,0,13,35.23629444214343,5
3314,cásea,0,14,34.947806930663354,5
3315,cáseo,0,14,28.74082344396223,5
3319,casón,0,15,31.526654781413384,5
3323,casus,0,15,32.80017767853391,5
3324,catán,0,16,32.61025373214961,5
3328,catín,0,16,32.61025373214961,5
3329,catón,3,16,32.61025373214961,5
3336,cauje,0,15,34.543708319077034,5
3345,caván,0,16,28.319557244301983,5
3347,cávea,0,15,31.74070939355195,5
3349,cavío,0,15,31.677321376048216,5
3350,cavón,0,16,28.319557244301983,5
3351,cayán,0,17,27.484348081852183,5
3353,cazón,1,17,28.10886411794013,5
3358,cebil,0,14,30.12059330223959,5
3359,cebón,0,16,23.020174917313454,5
3362,cebtí,0,16,22.21185764107736,5
3370,cegrí,0,15,26.121865864712202,5
3373,ceibo,0,15,34.826913495765126,5
3376,celán,0,14,25.926419477409013,5
3379,celfo,0,14,30.404278691181503,5
3382,cello,1,12,34.02015690935393,5
3390,cenit,4,16,34.915632709657665,5
3391,censo,9,15,34.82535280594023,5
3394,cepón,0,16,23.53532261259477,5
3395,ceptí,0,16,22.727005336358673,5
3396,cequí,0,15,18.665129987454456,5
3402,céreo,1,14,33.79901916647158,5
3407,cerón,0,15,30.441255034725344,5
3412,césar,0,14,34.69293427695041,5
3415,cesto,5,15,34.01703552970413,5
3416,cetil,0,14,33.56707664787836,5
3417,cetís,0,15,24.574742035979902,5
3421,ceutí,1,16,23.54756802506708,5
3422,cevil,0,14,29.276380160030733,5
3425,chacó,2,14,27.83706398228017,5
3426,chajá,0,15,22.8599040776023,5
3429,chalé,14,14,26.972801978474486,5
3431,chaná,0,16,28.32135804025379,5
3435,chape,0,16,34.0873866248882,5
3436,chapó,0,16,24.581705113660238,5
3439,chaúl,0,15,26.972801978474486,5
3441,chavo,2,16,32.6646377698943,5
3442,chavó,0,16,23.22234427617007,5
3444,chayo,0,17,31.82942860744449,5
3446,chazo,0,17,32.45394464353244,5
3448,checo,2,14,31.13576200680701,5
3449,cheje,0,15,26.221990119632878,5
3450,chele,0,14,30.334888020505062,5
3451,cheli,0,14,29.278180955982542,5
3452,chepa,0,16,34.0873866248882,5
3453,chepo,0,16,27.880403138187077,5
3455,chero,0,15,34.78633556031766,5
3457,cheso,0,15,29.72813983780831,5
3460,chico,173,14,30.07905494228449,5
3461,chile,0,14,29.278180955982542,5
3464,chiné,0,16,21.121055506533885,5
3465,chino,48,16,30.56334900025811,5
3466,chipa,0,16,33.030679560365684,5
3467,chipá,0,16,17.38140257994033,5
3468,chipe,0,16,26.887084091168294,5
3469,chipé,0,16,17.38140257994033,5
3471,chisa,0,15,34.87841625998691,5
3472,chist,0,16,24.50535136530346,5
3474,chite,0,16,29.81841974152575,5
3475,chito,0,16,29.755031724022015,5
3476,chiva,0,16,31.67131872287551,5
3477,chivo,9,16,25.46433523617439,5
3478,chiza,0,17,31.46062559651366,5
3479,choba,0,16,33.50885091210315,5
3481,choco,4,14,31.07237398930327,5
3482,chocó,8,14,21.630080495579044,5
3483,chofe,0,16,26.655621784828895,5
3485,cholo,0,14,30.208111985497588,5
3486,chopa,0,16,34.02399860738446,5
3487,chope,0,16,27.880403138187077,5
3488,chopo,1,16,27.81701512068334,5
3489,chori,0,15,33.72962849579514,5
3490,choro,0,15,34.72294754281393,5
3492,chote,0,16,30.811738788544538,5
3493,choto,1,16,30.7483507710408,5
3494,chova,0,16,32.6646377698943,5
3495,choya,0,17,31.82942860744449,5
3496,choza,8,17,32.45394464353244,5
3497,chozo,2,17,26.24696115683132,5
3498,chuca,0,15,31.00250310637302,5
3499,chufa,2,17,26.5223628843949,5
3500,chula,1,15,30.138241102567335,5
3501,chulé,0,15,14.488964122141986,5
3502,chulo,17,15,23.931257615866212,5
3503,chuna,0,17,31.48679716434664,5
3506,chupa,4,17,27.747144237753087,5
3507,chupe,0,17,21.6035487685557,5
3508,chupo,0,17,21.540160751051964,5
3509,churo,0,16,28.446093173182547,5
3510,chuva,0,17,26.38778340026292,5
3519,ciclo,42,12,33.827711848637094,5
3524,ciego,103,15,34.76232494762685,5
3529,cigua,0,16,34.62906604719286,5
3537,cinco,426,14,35.1762679104164,5
3540,cinto,7,16,34.85224469215393,5
3546,cisco,2,13,33.284351683444086,5
3548,cisne,10,15,33.83203375892144,5
3551,civil,153,14,28.219673095508213,5
3564,clipe,0,14,30.6357409975209,5
3565,clisé,0,13,22.977796185914173,5
3568,clown,0,17,25.865912733428175,5
3569,clube,0,15,24.837057979626994,5
3575,cobez,0,17,27.1527615205921,5
3576,cobil,0,14,30.05720528473585,5
3585,coche,301,14,31.135762006807006,5
3586,cochi,0,14,30.079054942284486,5
3587,cocho,0,14,31.07237398930327,5
3588,cocol,0,12,34.82103089565588,5
3589,cocui,0,14,32.257177672531256,5
3590,cocuy,0,16,23.95850966127028,5
3593,codín,0,15,25.267688318236658,5
3594,codón,0,15,25.267688318236658,5
3596,coevo,0,15,34.976019400575055,5
3598,cofín,0,16,22.247153241732846,5
3599,cofre,6,15,34.919114248497834,5
3601,cogón,0,16,22.89219835167144,5
3602,cohol,0,14,30.208111985497588,5
3606,coiné,0,15,29.576032606412035,5
3607,coipo,0,15,35.2786731735427,5
3610,cojez,0,16,25.946108179815475,5
3611,cojín,12,15,21.75013355903309,5
3612,cojón,3,15,21.75013355903309,5
3615,colín,0,14,25.86303145990528,5
3618,colme,0,16,32.36450511125918,5
3619,colmo,40,16,32.30111709375544,5
3620,colon,0,14,35.3053249536295,5
3621,colón,0,14,25.86303145990528,5
3624,colpe,0,14,31.629060044539685,5
3630,cómic,0,16,22.729766556818113,5
3631,comis,0,17,30.764437881543643,5
3636,conde,80,15,34.77336982946462,5
3638,congo,0,16,32.33449184539566,5
3645,cópec,0,14,23.05102855462114,5
3647,copey,0,17,27.043393179785465,5
3649,copín,0,16,23.471934595091028,5
3651,copón,7,16,23.471934595091028,5
3654,copto,2,16,32.105910812579154,5
3655,coque,2,15,28.107423481178678,5
3656,coquí,0,15,18.601741969950716,5
3658,córam,0,17,33.580642644048666,5
3659,corán,8,15,30.37786701722161,5
3673,corps,0,15,30.83082722563373,5
3677,corsé,4,14,28.48595079024929,5
3684,corvo,1,15,34.72114674686212,5
3686,corzo,2,16,34.51045362050026,5
3688,cospe,0,15,31.085699879346667,5
3690,coste,19,15,34.017035529704124,5
3691,costo,9,15,33.95364751220039,5
3693,cotín,0,16,26.40327024544849,5
3694,cotón,0,16,26.40327024544849,5
3697,coxis,0,15,27.852430774402286,5
3698,coyán,0,17,21.277364595151056,5
3699,coyol,0,15,29.371102027095972,5
3713,cribo,0,15,34.57204084205219,5
3720,cross,1,14,32.67856392525496,5
3722,cruce,22,14,33.12240010084457,5
3724,crudo,11,15,31.599406937866537,5
3725,cruel,58,14,32.25813809703889,5
3726,crúor,0,15,33.544146512758644,5
3727,cruza,22,17,34.440582737570004,5
3732,cuajo,7,15,34.4803203015733,5
3733,cuark,0,17,33.676444988685006,5
3737,cuatí,0,16,29.691163494264465,5
3738,cubil,10,15,23.780350915104474,5
3740,cucha,0,15,31.002503106373016,5
3741,cuché,0,15,15.353226125947668,5
3742,cuchí,0,15,15.353226125947668,5
3743,cucho,0,15,24.795519619671893,5
3744,cucuy,0,17,17.681655291638904,5
3750,cuete,0,16,33.05324953629504,5
3751,cueto,0,16,32.9898615187913,5
3752,cueva,29,16,34.9061485176448,5
3753,cueza,0,17,34.69545539128295,5
3754,cuezo,0,17,28.488471904581825,5
3756,cuico,0,14,32.257177672531256,5
3758,cuido,4,15,30.79757252705696,5
