,PALABRA,FRECUENC,RHO,PHI,LENGTH
2881,bambú,17,21,22.38905596273553,5
3012,bizma,0,21,29.783124140870264,5
4372,gamma,26,22,39.22433715702341,5
5165,magma,6,22,39.22433715702341,5
5182,mambí,0,22,23.639648724736336,5
5183,mamey,0,23,31.46590793130564,5
5184,mamía,0,21,37.45919696505856,5
5185,mamón,5,22,27.894449346611204,5
5186,mamúa,0,22,37.45919696505856,5
5187,mamut,2,23,30.251571194467957,5
5234,matiz,19,21,33.22960748650904,5
5245,mbayá,0,21,20.70963365807687,5
5270,memez,4,23,25.9468284981962,5
5293,mesma,0,21,35.508214630866846,5
5294,mesmo,0,21,29.30123114416572,5
5316,mimar,1,21,39.50970328885367,5
5319,minaz,0,21,34.037924762745135,5
5325,mioma,0,21,39.70118792506288,5
5340,misma,1053,21,34.451507566344326,5
5341,mismo,2138,21,28.244524079643202,5
5381,momia,14,21,39.701187925062875,5
5382,momio,0,21,33.49420443836175,5
5429,mudez,2,21,20.66689476748723,5
5437,muftí,0,21,12.642067793964932,5
5475,mutua,22,21,30.336688816456874,5
5476,mutuo,19,21,24.12970532975575,5
5612,numen,1,21,27.92050086138073,5
5615,nútum,0,22,17.606502073916673,5
6055,pómez,0,21,15.70570192024875,5
6137,pumba,4,21,26.069642782109693,5
6776,tamiz,1,21,33.22960748650904,5
6998,tótum,0,21,16.798184797680577,5
7070,tumba,61,21,29.00097843246715,5
7071,tumbo,2,21,22.793994945766027,5
7312,yambo,0,21,30.151927151801097,5
7348,yumba,0,22,23.875072782169717,5
7349,yumbo,0,22,17.668089295468597,5
7375,zamba,1,21,36.98342667459017,5
7376,zambo,2,21,30.776443187889047,5
7377,zampa,3,21,37.498574369871484,5
7401,zombi,20,21,23.57614065416914,5
7402,zompa,0,21,31.29159088317036,5
7403,zompo,0,21,25.084607396469238,5
7420,zumba,0,22,24.49958881825767,5
7421,zumbo,0,22,18.292605331556548,5
7431,zuzón,0,21,10.799613429135679,5
8626,bahúno,0,22,33.99314497007677,6
8641,bajuno,0,21,36.79434309965005,6
8648,bálamo,0,21,34.73759401655532,6
8677,balume,0,22,37.9664211581519,6
8678,bambuc,0,23,31.154730390832746,6
8684,bandín,0,21,33.788694603014534,6
8686,banzón,0,23,30.42288691601688,6
8703,barbón,0,21,34.644072680124616,6
8723,barzón,0,22,33.589166411553904,6
8730,bastón,28,21,33.03236030325404,6
8734,bátava,0,21,39.39001038458999,6
8735,bátavo,0,21,33.183026897888865,6
8744,batudo,0,21,39.503580582617516,6
8748,bausán,0,21,30.92158734160499,6
8749,bauyúa,0,23,36.44402826049114,6
8761,bebdez,0,22,27.586273132724664,6
8780,belhez,0,21,27.339203928136232,6
8785,bembón,0,24,22.32998985551614,6
8790,benjuí,0,21,21.208454136728434,6
8791,bentos,1,21,36.33105832778088,6
8792,benzoe,0,22,37.142737089793684,6
8793,benzol,0,21,32.373028878764416,6
8796,beodez,0,21,35.198837886345764,6
8797,berbén,0,21,28.50047721092723,6
8803,berniz,0,22,35.89454538906196,6
8815,besugo,0,21,29.900896196118683,6
8819,betume,0,24,32.36306447449773,6
8820,beudez,0,22,28.921983516714384,6
8823,bezote,0,22,36.33441981355759,6
8824,bezuda,0,22,35.06557898591177,6
8825,bezudo,0,22,28.858595499210647,6
8839,bierzo,0,21,39.2523095208082,6
8844,bígama,0,23,37.97374439502261,6
8845,bígamo,0,23,31.76676090832148,6
8848,bigote,68,21,36.268030469467504,6
8849,bigudí,1,21,19.34991266139634,6
8850,bikini,2,22,33.27186616484486,6
8858,bímano,0,23,36.086150078334626,6
8859,bimbre,0,23,33.94524379775861,6
8860,binguí,0,22,21.293811864844262,6
8861,bínuba,0,22,28.558702946702443,6
8862,bínubo,0,22,22.35171946000132,6
8863,biombo,5,23,34.07334041646408,6
8876,bisayo,0,21,39.71319323140828,6
8883,bispón,0,21,22.900722119176677,6
8885,bitume,0,24,31.30635740997521,6
8888,bizmar,0,24,39.03393299838528,6
8893,blasmo,0,21,38.93020715156099,6
8910,bobote,0,21,37.32593806462456,6
8935,bófeta,0,21,33.38099439952459,6
8938,bohemo,0,23,34.28763513472955,6
8965,bombeo,2,23,35.13004748098659,6
8966,bombín,1,24,22.2666018380124,6
8967,bombón,7,24,22.2666018380124,6
8978,bonizo,0,22,36.02264200776743,6
8983,boquín,0,21,20.915764768027465,6
9018,botito,0,21,39.71571434574081,6
9022,botuto,0,22,34.432179023128214,6
9028,bovino,3,21,36.23333513412928,6
9031,boyazo,0,23,37.28872161495381,6
9033,boyero,1,21,39.62111253173903,6
9034,boyuna,0,23,36.32157413576801,6
9035,boyuno,0,23,30.114590649066887,6
9038,brahón,0,21,33.80166033386757,6
9041,brandy,1,22,37.10528053399602,6
9059,bretón,4,21,31.946960556565998,6
9067,bribón,4,21,27.44377014640471,6
9072,bright,0,22,27.558180715876418,6
9096,bronzo,0,22,36.82447641857701,6
9099,brotón,0,21,31.883572539062264,6
9102,brozno,0,22,36.82447641857701,6
9107,brumal,0,22,37.71154850443896,6
9113,brutez,0,23,29.80269279021327,6
9114,bruzar,0,22,39.920885031183786,6
9115,bruzas,0,22,34.86268930867443,6
9116,bruzos,0,22,28.65570582197331,6
9119,bubosa,0,21,36.10908021345435,6
9120,buboso,0,21,29.902096726753225,6
9127,buchín,0,21,17.66724892402442,6
9128,buchón,0,21,17.66724892402442,6
9132,budión,0,21,23.669301831409484,6
9133,buenos,231,21,34.22028536613183,6
9134,buetre,0,21,38.533551829908816,6
9136,bufado,0,21,35.34746357890188,6
9140,búfano,0,22,34.12592365825695,6
9141,bufeta,0,22,36.54643352361744,6
9142,bufete,3,22,30.40283805442005,6
9143,bufido,3,21,28.14716104518197,6
9144,bufona,0,22,37.2913627823498,6
9146,buhedo,0,21,29.071089421524313,6
9147,buhero,0,21,34.18126812050926,6
9148,buitre,4,21,37.4768447653863,6
9151,bujeta,0,21,36.04941384091769,6
9162,búnker,0,23,26.681433193471513,6
9168,burgés,0,21,20.203730048681518,6
9173,burrez,0,22,33.77728956198639,6
9175,burujo,0,21,27.476784738854573,6
9178,buseta,0,21,39.61895157659686,6
9180,busito,0,21,32.35526102537321,6
9181,búster,0,21,30.05504432959368,6
9184,butiro,0,21,37.41345674788256,6
9185,butrón,2,22,25.60671816943089,6
9186,búzano,0,23,33.780651047763115,6
9250,caimán,4,21,38.86333759521708,6
9334,cambín,0,22,32.24409188861477,6
9336,cambón,0,22,32.24409188861477,6
9338,cambuí,0,22,29.325001650729625,6
9339,cambuj,0,22,29.948077050056128,6
9340,cambur,0,22,38.57581050824464,6
9350,caminí,0,21,38.86333759521709,6
9352,camión,25,21,38.86333759521709,6
9360,campés,0,21,30.867323356923762,6
9361,campus,5,22,34.03276248101661,6
9512,carmín,10,21,39.665172006026665,6
9632,cazuzo,0,22,35.406889845311625,6
9765,ceugma,0,22,38.76609461381931,6
9783,chamán,0,22,31.401679542357726,6
9787,champú,4,23,27.66202661576417,6
9804,chapuz,0,22,28.521966709285504,6
9856,chimba,0,22,35.5958533671883,6
9857,chimbo,0,22,29.388869880487174,6
9868,chisma,0,21,37.95873776209085,6
9869,chisme,13,21,31.81514229289346,6
9889,chomba,0,22,36.589172414207084,6
9890,chompa,3,22,37.1043201094884,6
9904,chozna,0,21,38.53847400551044,6
9905,chozno,0,21,32.33149051880932,6
9906,chozpo,0,21,28.591837592215757,6
9921,chumba,0,23,30.312318044575704,6
9922,chumbe,0,23,24.168722575378318,6
9923,chumbo,0,23,24.105334557874578,6
9924,chumpa,0,23,30.82746573985702,6
9925,chunga,1,21,33.25193735631149,6
9926,chungo,2,21,27.044953869610367,6
9928,chupín,0,21,18.182396619305734,6
9929,chupón,0,21,18.182396619305734,6
9939,chusma,6,22,32.675202439478255,6
9942,chuzar,1,21,35.42789913141608,6
9943,chuzón,0,22,16.61234265545371,6
9981,cimbre,0,21,37.71575036165986,6
9982,cimbro,0,21,37.65236234415612,6
10153,combés,1,21,24.14519217494132,6
10160,comigo,0,21,37.779258432227046,6
10163,comité,17,21,31.848036832279867,6
10164,cómite,0,21,31.9114248497836,6
10168,compás,30,21,24.660339870222636,6
10169,compón,0,22,26.552256097194956,6
10171,compto,0,22,35.18623231468308,6
10206,convoy,4,21,31.70517368676955,6
10313,cotuza,0,21,39.90827945952111,6
10316,coyuyo,0,22,27.950874286434605,6
10439,cumarú,0,22,36.74608176814152,6
10440,cumbia,0,22,37.77397609743507,6
10441,cumbre,15,22,32.43221503904726,6
10442,cúmulo,21,21,26.02426272412406,6
10466,curiyú,0,21,26.615764167762148,6
10486,cutrez,0,21,33.57319935411452,6
10490,cuyují,0,21,12.704495386961037,6
10491,cuzcuz,0,22,19.08099379925927,6
10509,danzón,0,22,32.73378833444382,6
10549,deguno,0,21,34.103713841517944,6
10552,deísmo,0,21,30.361539800591864,6
10565,dengue,2,21,34.167101859021685,6
10569,dentón,0,21,31.091582479455916,6
10573,dermis,0,21,38.6190296110881,6
10582,desgay,0,21,35.40364841259837,6
10587,desmán,1,22,27.003775668845634,6
10592,destez,0,21,33.39564087326598,6
10602,deutón,0,21,28.172492241570772,6
10612,dezmía,0,23,33.15073262381973,6
10620,dídima,0,21,35.45983324629486,6
10621,dídimo,0,21,29.252849759593744,6
10628,diezmo,1,23,35.39272358382405,6
10636,dímero,0,21,35.41973552310121,6
10638,dínamo,3,22,38.39705149676157,6
10651,dirhem,0,22,35.41373286992851,6
10672,dizque,0,21,26.429321760218016,6
10687,dolmán,0,21,27.48374781653491,6
10688,dolmen,0,21,36.98942932776287,6
10694,dómida,0,21,35.45983324629486,6
10695,dómine,0,22,31.2601369805454,6
10696,dominó,10,22,31.196748963041664,6
10697,dómino,0,22,31.196748963041664,6
10703,dongón,0,21,27.517122568175132,6
10714,dormán,0,22,31.998583373851247,6
10726,dramón,1,22,38.20556686055236,6
10751,dulzón,10,21,18.901394416332018,6
11159,faetón,0,21,37.63579502139946,6
11193,fámula,1,22,27.751105988847073,6
11194,fámulo,5,22,21.544122502145946,6
11203,faquín,0,21,26.413114596651724,6
11212,farfán,0,21,33.22480536397088,6
11226,fatimí,0,23,33.574880097002875,6
11232,fausto,0,21,38.84592990101625,6
11243,fefaút,0,22,32.67136074144772,6
11244,feísmo,0,22,27.341004724088044,6
11254,fémina,3,23,34.38319737323897,6
11260,feotón,0,21,31.428811534698333,6
11282,festín,10,21,26.179131175979784,6
11283,festón,2,21,26.179131175979784,6
11302,figura,251,21,39.399734682729765,6
11305,fijeza,13,21,36.12192589124393,6
11330,fingir,22,21,35.11852238689501,6
11334,finito,16,21,38.82107891688126,6
11342,firmán,0,23,27.984729250328648,6
11344,firmón,0,23,27.984729250328648,6
11347,fisgón,1,21,21.611352217680214,6
11357,flámeo,0,21,27.884364889281063,6
11362,flegma,0,22,35.85648856794704,6
11364,flemón,1,22,24.52660075753483,6
11385,fogueo,1,21,34.44094289676036,6
11392,fómite,0,23,27.43128462780549,6
11395,fondón,1,21,26.87207745823654,6
11415,formol,2,21,37.071785729292344,6
11416,formón,1,23,28.978048297347428,6
11420,fortín,0,21,31.17393888098539,6
11427,fotuto,0,22,33.722545365051346,6
11428,foxino,0,21,34.70650027312071,6
11429,foyosa,0,21,39.996878620350195,6
11430,foyoso,0,21,33.78989513364907,6
11437,frámea,0,22,38.60618393329852,6
11452,fregón,0,21,27.726255004712087,6
11496,frufrú,2,22,23.907247003175403,6
11504,fuente,138,22,34.65763867629492,6
11506,fuerte,253,21,37.82391817183195,6
11507,fuerza,421,22,39.466124026819855,6
11509,fúgida,0,21,31.12411685965197,6
11510,fúgido,0,21,24.917133372950843,6
11522,fulmar,0,22,37.0019148463621,6
11525,fumero,0,23,35.56463957069025,6
11526,fumosa,0,23,36.65003931737828,6
11527,fumoso,0,23,30.443055830677157,6
11528,funche,0,21,26.46329677717551,6
11529,fundar,13,21,39.410779564567534,6
11530,fundir,5,21,32.210477030847635,6
11531,fungir,0,22,29.834987064282412,6
11533,furgón,6,22,21.386012617576966,6
11541,fusión,76,21,23.011651149808216,6
11543,fustán,0,22,19.83888878884467,6
11544,futbol,0,21,25.56974182588704,6
11545,fútbol,62,21,22.40430270179419,6
11546,futesa,0,21,38.90931791851999,6
11547,futura,33,22,37.62727125389422,6
11548,futuro,262,22,31.4202877671931,6
11549,fututo,0,23,27.445690995419977,6
11560,gabuzo,0,23,32.62670100184282,6
11567,gafetí,0,21,33.316405851386314,6
11601,gambaj,0,23,38.59681979434911,6
11602,gambax,0,24,38.14205878998518,6
11604,gambox,0,24,31.935075303284055,6
11605,gambuj,0,24,26.112981938016606,6
11606,gambux,0,25,25.65822093365268,6
11609,gamuno,0,24,39.18700065428919,6
11620,gantés,0,21,32.96777175511576,6
11621,ganzúa,0,23,39.92304598632596,6
11631,garbín,0,21,34.57948413198634,6
11632,garbón,0,21,34.57948413198634,6
11654,garvín,0,21,33.73527098977748,6
11655,garzón,0,22,33.52457786341563,6
11656,garzul,0,21,35.34146092572917,6
11673,gaudón,0,21,30.80501581699111,6
11679,gavión,0,21,32.93343657896791,6
11684,gayuba,0,23,38.209168452455984,6
11687,gazgaz,0,24,36.37847928784523,6
11688,gazmol,0,23,35.44782793994946,6
11690,gazuza,3,24,37.77877821997323,6
11697,gemelo,6,21,38.035091510447614,6
11698,gemido,14,22,36.38304130425648,6
11699,gémina,0,23,35.028242483177564,6
11700,gémino,0,23,28.82125899647644,6
11702,gemoso,0,22,37.428343327750866,6
11711,génova,0,21,33.92675562598669,6
11713,gentío,13,21,32.07385664463693,6
11714,genués,0,21,24.713403324269326,6
11719,germán,0,23,29.68648142478976,6
11720,germen,8,23,39.192162936017716,6
11732,gigote,0,21,36.20344192132922,6
11756,gluten,0,21,30.53297557520424,6
11758,gnomon,0,24,35.89910740547322,6
11764,godizo,0,21,34.01415425618123,6
11775,gómena,0,23,36.084949547700084,6
11780,gomoso,0,22,37.364955310247126,6
11782,gonchu,0,21,27.044953869610367,6
11787,gorgón,0,21,28.30791209714694,6
11789,gorguz,0,23,26.16364433079421,6
11806,gozoso,5,21,35.059456279675615,6
11807,gozque,0,22,25.047150840671577,6
11838,grebón,0,21,28.435888662788955,6
11843,greuge,0,21,34.9578913879935,6
11848,grifón,0,21,26.669547940189567,6
11852,gringo,1,21,36.75688654385238,6
11860,gritón,1,21,30.825664943905203,6
11862,grogui,0,21,33.83779630596724,6
11865,grosez,0,21,34.931359660970145,6
11878,gruyer,0,22,33.088184977760164,6
11879,guabán,0,22,28.494114398564165,6
11880,guabul,0,21,30.310997460877704,6
11892,guaimí,0,23,32.109152245292414,6
11901,guamil,0,22,36.84512554549111,6
11904,guandú,0,22,30.80501581699111,6
11906,guango,0,22,37.87181934415011,6
11907,guanín,0,22,32.74891502043903,6
11912,guarán,0,21,35.91519451597606,6
11914,guarén,0,21,35.91519451597606,6
11916,guarín,0,21,35.91519451597606,6
11923,guasón,1,21,30.85699879346671,6
11924,guasto,0,21,39.49097501095484,6
11925,guatón,0,22,31.940597744202933,6
11932,güemul,0,23,22.252555629588276,6
11938,guiguí,0,22,18.31013307882084,6
11939,guijón,1,21,20.08715852406764,6
11941,güimba,0,24,30.773441861302693,6
11942,guinda,4,21,39.25399026369656,6
11943,guindo,2,21,33.04700677699543,6
11945,guineo,1,21,38.41205812969332,6
11946,guinga,0,22,36.87850029713134,6
11947,guinja,0,21,35.73643550449299,6
11948,guinjo,0,21,29.529452017791865,6
11953,guipuz,0,24,19.664691793772846,6
11957,guitón,0,22,24.740295210483033,6
11960,gúmena,0,24,36.084949547700084,6
11962,gurbio,0,21,33.90238485410552,6
11965,gurupa,0,22,35.34098071347536,6
11967,gustar,15,21,39.29949037474564,6
11968,guzmán,0,26,14.870252651672038,6
12408,jagüey,0,22,27.69348051838913,6
12416,jambón,0,23,27.2669319839369,6
12420,jamúas,0,22,39.19456399728681,6
12421,jamuga,0,23,39.93253017833883,6
