,PALABRA,FRECUENC,RHO,PHI,LENGTH
2841,bacía,1,15,38.72851800495819,5
2843,badal,0,15,42.00488615968258,5
2847,badil,0,15,34.80458362596267,5
2857,baila,12,15,46.313230447857954,5
2858,baile,79,15,40.16963497866057,5
2860,bajel,2,15,32.34373593128163,5
2866,balaj,0,15,38.487331400479015,5
2867,balar,0,15,47.11506485866754,5
2869,balda,2,15,42.00488615968258,5
2870,balde,17,15,35.86129069048519,5
2871,baldo,0,15,35.79790267298145,5
2872,balea,0,15,47.369937512380474,5
2873,baleo,0,15,41.16295402567935,5
2876,balsa,3,15,42.056869136158184,5
2877,balso,0,15,35.84988564945706,5
2900,barca,13,15,47.979326862473215,5
2901,barco,104,15,41.772343375772095,5
2906,baril,0,15,39.914762324947624,5
2913,basal,2,15,42.05686913615818,5
2915,basca,10,15,42.92113113996386,5
2916,basco,0,15,36.71414765326274,5
2940,becar,0,15,41.83573139327582,5
2941,bedel,20,15,29.717695221287805,5
2951,belio,0,15,33.96265149195945,5
2952,bella,129,14,36.45663383215381,5
2953,belli,0,14,29.256331298433906,5
2954,bello,58,14,30.249650345452686,5
2982,bical,0,14,36.26418877143698,5
2986,bicos,0,15,29.513845119542836,5
2989,biela,1,15,40.16963497866057,5
2991,bijol,0,15,25.08004538005798,5
2992,bilao,0,15,40.10624696115683,5
2993,bilis,4,15,27.65626406871837,5
2994,billa,0,14,35.39992676763129,5
3001,birla,0,15,39.914762324947624,5
3002,birlí,0,15,24.265485344522276,5
3003,birlo,0,15,33.7077788382465,5
3005,bisel,1,15,28.71297113324089,5
3017,bleda,0,15,35.8612906904852,5
3018,bledo,4,15,29.654307203784075,5
3020,bloca,0,14,37.25750781845576,5
3024,bocal,0,14,37.25750781845576,5
3025,bocel,0,14,31.11391234925837,5
3030,bocio,3,15,34.763525478261386,5
3041,bolar,0,15,40.908081371966404,5
3042,boldo,0,15,29.590919186280335,5
3043,boleo,0,15,34.95597053897822,5
3045,bolla,0,14,36.39324581465007,5
3046,bollo,5,14,30.18626232794895,5
3048,bolsa,66,15,35.84988564945706,5
3049,bolso,37,15,29.642902162755934,5
3065,borla,2,15,40.908081371966404,5
3083,braca,0,15,47.979326862473215,5
3084,braco,0,15,41.772343375772095,5
3094,breca,0,15,41.83573139327583,5
3101,brial,0,15,39.914762324947624,5
3104,briol,0,15,33.707778838246504,5
3109,broca,0,15,41.77234337577209,5
3129,bucal,2,15,30.98065344882438,5
3135,bucle,5,15,24.837057979626994,5
3157,bulla,3,15,30.1163914450187,5
3181,cabal,24,14,43.464491305156876,5
3182,cabás,0,15,27.271854159538517,5
3183,caber,3,15,41.835731393275836,5
3184,cabio,0,15,40.97050896496252,5
3185,cable,16,14,37.32089583595949,5
3186,cabra,21,15,47.979326862473215,5
3187,cabro,0,15,41.772343375772095,5
3188,cacán,0,14,32.934276950412084,5
3189,cacao,6,13,51.94131806258366,5
