,PALABRA,FRECUENC,RHO,PHI,LENGTH
8595,babada,0,20,54.74791858001237,6
8596,babaza,0,22,51.38211089301471,6
8597,babear,0,20,53.71450180979993,6
8598,babera,0,20,53.714501809799934,6
8599,babero,0,20,47.50751832309881,6
8600,babosa,2,20,48.59291806978684,6
8613,badana,1,20,59.00271920188723,6
8614,badaza,0,21,53.693012311441656,6
8617,badina,0,20,51.802416668167325,6
8618,bafear,0,20,53.00486815172306,6
8620,bagasa,0,20,54.73531300834969,6
8653,balayo,0,20,47.4568559303212,6
8654,balazo,3,20,48.08137196640915,6
8679,banaba,0,21,56.691817783460294,6
8680,banana,2,21,60.94661840533516,6
8681,banano,0,21,54.73963491863404,6
8700,barata,11,20,63.30458062463609,6
8701,barato,25,20,57.09759713793497,6
8702,barbar,0,20,53.45962915608699,6
8710,baremo,3,22,48.758111085099614,6
8711,barita,0,20,56.10427809091618,6
8714,baroto,0,20,50.89061365123385,6
8722,barzal,0,20,47.88988733019995,6
8728,bastar,5,20,51.84791677921642,6
8731,basura,55,20,49.737143817567365,6
8732,batata,0,21,59.329983852862966,6
8733,batato,0,21,53.12300036616185,6
8736,batazo,0,22,48.62161075195236,6
8737,batear,0,20,57.16098515543871,6
8738,batera,0,20,57.1609851554387,6
8739,batero,0,20,50.954001668737575,6
8741,batida,8,20,50.994099391931236,6
8752,bayana,0,22,55.01239547880163,6
8753,bayano,0,22,48.8054119921005,6
8754,bayeta,8,22,48.06048273336815,6
8756,bayona,0,22,48.80541199210051,6
8786,benina,0,21,47.602720402417866,6
8801,bernia,0,20,50.76899989795489,6
8804,berona,0,20,51.76231894497368,6
8812,besana,0,20,52.91110670916545,6
8821,bezaar,0,21,52.65959554122922,6
8855,bimana,0,23,50.74210801174119,6
8906,bobada,4,20,48.54093509331124,6
8907,bobear,0,20,47.50751832309881,6
8908,bobera,0,20,47.50751832309881,6
8916,bocaza,2,20,48.945633970214836,6
8936,bogada,0,20,48.476346545172966,6
8968,bonaza,0,22,49.429928028188456,6
8971,boneta,0,21,47.78772217320055,6
8975,bonina,0,21,47.539332384914125,6
8984,borato,0,20,50.89061365123385,6
8993,borona,1,20,51.69893092746994,6
9007,botana,0,21,53.931317642397936,6
9009,botear,0,20,50.954001668737575,6
